"","NAME","LONGITUDE","LATITUDE","ADDRESS","POSTALCODE","EMAIL","KEEPERNAME","TOTALROOMS","INC_CRC","FMEL_UPD_D"
"11","Holiday Inn Express Singapore Orchard Road",103.836680368343,1.30322795583465,"20 Bideford Road","229921","info.sinex@ihg.com","Najeeb Kurungottu","221","1E17B0CDF1E7CDA8","20210128110627"
"12","Holiday Inn Express Singapore Serangoon",103.858630348608,1.31014109037569,"270 JALAN BESAR","209019","","Garside Ashleigh Maree","119","F42B9FBA63112392","20210128110627"
"13","Holiday Inn Singapore Atrium",103.834068286993,1.28907019166027,"317 Outram Road","169075","hiatrium@ichotelsgroup.com","Tuncay Bockin","518","11EF65BD203685B9","20210128110627"
"14","Holiday Inn Singapore Orchard City Centre",103.841101584501,1.30227912538394,"11 Cavenagh Road","229616","info.hisinorchard@ihg.com","Gobind Naroomal Gary Harilela @Gary Harilela","324","789DE80F5E0211C0","20210128110627"
"15","Home Suite View Hotel",103.878121318914,1.31140043113114,"12 Lorong 12 Geylang","398993","homesuite12@gmail.com","SWEE WEIDI","175","01012B339B2217D5","20210128110627"
"16","Hoover Hotel",103.853069621772,1.32170313863895,"246 Balestier Road , # 02-01","329706","","Lim Choon Hua","42","EFBE8B5CA40442B0","20210128110627"
"17","Hotel 165",103.856274002503,1.31047892595777,"165 Kitchener Road","208532","jackson@hotel165.sg","Siah Wei Bin","68","9B96822662A98D40","20210128110627"
"18","Hotel 1888",103.843899635185,1.28285932265539,"20 TRENGGANU STREET, # 01-03 JINSHAN HOTEL","58479","justin.wong@hotel1888.com.sg","Adrian Siow Shen Ngin","40","0D678930AD97FD68","20210128110627"
"19","Hotel 81 - Balestier",103.853123339191,1.32138046634844,"226 Balestier Road","329688","hotel81@hotel81.com.sg","Chu Poh Yong","53","30C90C6B5398385C","20210128110627"
"20","Hotel 81 - Bugis",103.855618625297,1.29687853383032,"31 Middle Road","188995","hotel81@hotel81.com.sg","Chu Poh Yong","88","15B1260EA042F00D","20210128110627"
"21","Hotel 81 - Changi",103.911729077231,1.31869115633081,"428 Changi Road , # 01-01","419871","hotel81@hotel81.com.sg","Chu Poh Yong","80","26435B9826BFF5F1","20210128110627"
"22","Hotel 81 - Cherry",103.878417449833,1.31199127691196,"3 Lorong 12 Geylang","399014","hotel81@hotel81.com.sg","Chu Poh Yong","53","7B3DF51643724BE4","20210128110627"
"23","Hotel 81 - Chinatown",103.844098495279,1.28456367163908,"181 New Bridge Road","59418","hotel81@hotel81.com.sg","Chu Poh Yong","95","6BB3C9FBF88A4898","20210128110627"
"24","Hotel 81 - Cosy",103.841859436164,1.27966689951546,"8 Jiak Chuan Road","89263","hotel81@hotel81.com.sg","Chu Poh Yong","39","F844FDFCD3FCFA99","20210128110627"
"25","Hotel 81 - Dickson",103.854269341864,1.30490446592441,"3 Dickson Road","209530","hotel81@hotel81.com.sg","Chu Poh Yong","196","7991DBAA1EF8329B","20210128110627"
"26","Hotel 81 - Elegance",103.860271946103,1.31237964690163,"30 Foch Road , # 01-01","209276","hotel81@hotel81.com.sg","Chu Poh Yong","120","ED21428AA77FF425","20210128110627"
"27","Hotel 81 - Fuji",103.852599854946,1.32218490550845,"269 Balestier Road","329720","hotel81@hotel81.com.sg","Chu Poh Yong","78","787F346C2426ABE0","20210128110627"
"28","The Quay Hotel West Coast",103.768589721055,1.29233444235646,"428 PASIR PANJANG ROAD SANTA GRAND HOTEL WEST COAST","118769","","Heng Chern Chieh Germaine","42","92F45D6A0A4C34F7","20210128110627"
"29","The Quincy Hotel",103.835748313428,1.30775153247414,"22 Mount Elizabeth","228517","info.tqh@fareast.com.sg","Kurukulasuriya Shakila Mehani Fernando","108","0DDCF09C9E89EB9F","20210128110627"
"30","Golden Star Hotel",103.877336359038,1.31076953969736,"31 Lorong 8 Geylang","399095","goldenstarhotel@yahoo.com.sg","Timothy Seah How Ming","43","31835167831920D5","20210128110627"
"31","Goodwood Park Hotel",103.83410906863,1.30822214594427,"22 Scotts Road","228221","enquiries@goodwoodparkhotel.com.sg","Khoo Bee Geok, Mavis","233","0CB42F3CAFB966B5","20210128110627"
"32","Grand Hyatt Singapore",103.833283334569,1.3063453359855,"10 Scotts Road","228211","singapore.grand@hyatt.com","Willi Beat Martin","677","F5543044BAEC0506","20210128110627"
"33","Grand Mercure Roxy Hotel",103.904051128937,1.3043259893264,"50 East Coast Road","428769","H3610-FO16@accor.com","Ng Wai Peng","576","FEC8882D5B30CF49","20210128110627"
"34","Grand Park City Hall",103.850123925268,1.29262894189275,"10 Coleman Street","179809","info.gpch@parkhotelgroup.com","Jeane Lim Sook Tiang","343","ED8DF7F4128749AC","20210128110627"
"35","Grand Park Orchard",103.836202012782,1.30310525131104,"270 Orchard Road","238857","infor.gpor@parkhotelgroup.com","Lim Kang-Ling","308","AC132E5EFF9711B1","20210128110627"
"36","GREENDILI BACKPACKERS HOSTEL",103.857555410336,1.3159109329182,"427 RACE COURSE ROAD GREENDILI BACKPACKERS HOSTEL","218673","GREENDILIHOSTEL@GMAIL.COM","SUN KANGQING","9","76E9C8C26E89E1EE","20210128110627"
"37","Haising Hotel",103.854580698492,1.30462079031568,"33A Jalan Besar","208801","hs@haising.com.sg","Tan Boon Yong Dominic","56","4EDEA087007B5886","20210128110627"
"38","Harbour Ville Hotel",103.827744716094,1.27261402571663,"512 Kampong Bahru Road","99448","harbourv@singnet.com.sg","Lim Shirley","100","EBDEEC996FFCE73B","20210128110627"
"39","Harbour Ville Hotel Hamilton",103.861509695837,1.31156411968173,"40 HAMILTON ROAD","209210","","SOH SHIL NIE","43","EC415EC11AE52BC8","20210128110627"
"40","7 Wonders Hostel",103.858155071754,1.31019236449532,"257 Jalan Besar","208930","","Shahjahan Bin Mohamed Sitthiq","5","4BC4048148518C7C","20210128110627"
"41","7 Wonders Hostel @ Upper Dickson",103.852350568271,1.30635176142908,"12A UPPER DICKSON ROAD CLIFDEN HOSTEL","207472","hr@7wondershostel.com","SHAHJAHAN BIN MOHAMED SITTHIQ","8","59983D0C6DBD17D5","20210128110627"
"42","ABC HOSTEL",103.859267550804,1.30366887875577,"3  Jalan Kubor (1st Storey)","199201","booking@abchostel.com.sg","TEO WEN HAO","23","CA625887E4BDE889","20210128110627"
"43","Adamson Lodge",103.852965178949,1.30448415943975,"6 Perak Road","208127","query_chris@yahoo.com.sg","Lee Choon Chuan","7","FE502164CC10A45A","20210128110627"
"44","AL Asia Hotel",103.8846809303,1.31324104846935,"488 GEYLANG ROAD","389447","","Lim Siew Iy @ Lim Siew Ching","16","C7D6BD8F9A1D3615","20210128110627"
"45","Aliwal Park Hotel",103.860268091316,1.30336025012185,"77 Aliwal Street","199948","aliwalpark77@gmail.com","Wong Lee Peng","53","338C31C6EB6057EA","20210128110627"
"46","Amara Sanctuary Resort, Sentosa",103.822016591014,1.25212800048918,"1 Larkhill Road","99394","sentosa@amarasanctuary.com","Joseph Thiang Thin Poh","140","7E2F91BFBF93F966","20210128110627"
"47","Amara Singapore",103.843500117167,1.27493473787886,"165 Tanjong Pagar Road","88539","singapore@amarahotels.com","Joseph Thiang Thin Poh","380","B8E4090856EEF4CB","20210128110627"
"48","Amrise Hotel",103.877872197764,1.31392297209217,"112 Sims Avenue , # 01-01","387436","reservation@amrisehotel.com","LIM TIM BOCK","58","BD6D5FF91F9D87FB","20210128110627"
"49","Ann Siang House",103.845721510662,1.2807288857312,"28 ANN SIANG ROAD","69708","","Manchharam Ashish","20","73EE86A8291261E8","20210128110627"
"50","Aqueen Heritage Hotel - Joo Chiat",103.8986087202,1.31496412930389,"51 Joo Chiat Road","427373","","Chan Boon Tat","70","479DDB1B2064D8F8","20210128110627"
"51","AQUEEN Heritage Hotel - Little India",103.851868266106,1.30736540957505,"22 BELILIOS LANE AQUEEN HERITAGE HOTEL - LITTLE INDIA","219962","","Chan Boon Tat","70","29AF37AA78351766","20210128110627"
"52","AQUEEN Hotel - Kitchener",103.858027585848,1.30929085528988,"230 Jalan Besar","208906","","Chan Boon Tat","74","CC35ED728A01C109","20210128110627"
"53","Arcadia Hotel",103.861344016453,1.31144511621404,"32 Hamilton Road","209201","wyneo@arcadiahotel.com.sg","Neo Wan Yong","36","1E36496D94BE0983","20210128110627"
"54","Arianna Hotel",103.855916077404,1.30898195611065,"83 Syed Alwi Road","207662","accounts@arianna.com.sg","Ng Swee Yak","51","7FEC20B2AE2C0DC7","20210128110627"
"55","Ark Hostel",103.872957810113,1.31083993031984,"83B Geylang Road","389200","singaporelodgingpteltd@gmail.com","Kelvin Tng Eng Khai","31","76C437DC0103BE05","20210128110627"
"56","Arton Hotel",103.860855935208,1.31200012479956,"176 Tyrwhitt Road","207576","","Ooi Teck Hin","109","CE24146FE1909105","20210128110627"
"57","Ascott Orchard Singapore",103.837118390961,1.30398869691117,"11 CAIRNHILL ROAD","229724","","Wong Mei Ling Judy","220","3FB23879C3C224C7","20210128110627"
"58","Ascott Singapore Raffles Place",103.851544401021,1.28208454707961,"2 Finlayson Green","49247","enquiry@the-ascott.com","Judy Wong Mei Ling","146","EA1EEC707A782A8A","20210128110627"
"59","Asia Star Hotel",103.854724878876,1.30850392397464,"44 Rowell Road","207995","johnnyangys@hotmail.com","Ang Ying Soon","14","02A170199B52C836","20210128110627"
"60","Beary Best! Hostel Kampong Glam",103.859394682355,1.30120414903648,"64 ARAB STREET, # 00-00","199761","BearyKG@abearygoodhostel.com","MARECHAL PIERRE JEAN M","4","6170F48FB938CB60","20210128110627"
"61","BEAT. Sports Hostel",103.85890444877,1.31064624214852,"290A Jalan Besar","208953","sports@beathostel.co","JEREMY TEO","13","FEA8E458DDD06100","20210128110627"
"62","Betel Box Backpackers Hostel",103.900168104154,1.31220268168059,"200 Joo Chiat Road","427471","info@betelbox.com","Tan Say Kiong","6","C35238BC7123EC69","20210128110627"
"63","Blanc Inn",103.860152247876,1.3118099599849,"151 Tyrwhitt Road","207564","blancinn@gmail.com","Iek Tong Wah","4","0A0416C2BAE46AC6","20210128110627"
"64","Bliss Hotel Singapore",103.844304195694,1.28445774430707,"62 Upper Cross Street","58353","reservation@blisshotel.com.sg","Kee Khek Thai","42","2B14BC13300BD208","20210128110627"
"65","Blue Jazz Hostel",103.85790553137,1.30982597177326,"243 JALAN BESAR","208916","","Wang CuiRong","5","5D64B51A34C4AA8B","20210128110627"
"66","Breeze Inn",103.858436453128,1.30258711150837,"3 JALAN PINANG ADAMSON INN","199135","breezeinn8@gmail.com","LIN YI YUN","16","0B1AF9552E85769A","20210128110627"
"67","Bright Star Hotel",103.878864871244,1.31351593312261,"20 Lorong 17 Geylang","388575","brightstarhotel@yahoo.com.sg","Pauline Seah Swee Lian","86","CB853F541BB75F19","20210128110627"
"68","Broadway Hotel",103.853224451953,1.30917900212984,"195 Serangoon Road","218067","broadwayhotelsingapore@yahoo.com","Sim Seng Quee","65","6FA883FF81602956","20210128110627"
"69","BudgetOne Hotel",103.880423593148,1.31221720783339,"10 LORONG 18 GEYLANG BUDGETONE HOTEL","398793","","Lim Kee Huat","49","A49D496D62911FD2","20210128110627"
"70","BUTTERNUTTREE HOTEL",103.841824512271,1.28063133791161,"22 TECK LIM ROAD PARK 22 HOTEL CHINATOWN","88392","","WIWIN CHRISTANTI GHOBIND","55","41FED2B8CE69E2DF","20210128110627"
"71","Cameron Hotel",103.954974045383,1.33674234821614,"393F Upper Changi Road","486917","info@cameronhotel.com.sg","Nicholas Ong Ann Wei","19","95B50FAF44FE2B29","20210128110627"
"72","Campbell Inn",103.852641538954,1.30499470478209,"50 CAMPBELL LANE CHECKERS BACKPACKERS","209922","","Wang Cuirong","10","AEC0344008F84BBA","20210128110627"
"73","Capella Hotel, Singapore",103.824378229099,1.24948297406912,"1 The Knolls","98297","gr.singapore@capellahotels.com","Fernando Gibaja Garcia-Zarco","193","9CA2E74FFAE5A355","20210128110627"
"74","Capri By Fraser Changi City, Singapore",103.963583777969,1.3342655648281,"3 Changi Business Park Central 1  Changi City","486037","resvn.changicity@capribyfraser.com","Vernon Lee Koon Yong","313","8E9AFDE80718099C","20210128110627"
"75","Capri By Fraser China Square, Singapore",103.847061684457,1.28401467620777,"181 SOUTH BRIDGE ROAD","58743","reservations.singapore@capribyfraser.com","Vernon Lee Koon Yong","304","A88878CB6DF3EA60","20210128110627"
"76","CapsulePod@Aljunied",103.883955325222,1.31594220611958,"76A LORONG 27 GEYLANG","388194","","YAN TONGJI","8","5EA68B54FDAD1C8E","20210128110627"
"77","Carlton City Hotel Singapore",103.84369850009,1.27595845561159,"1 Gopeng Street","78862","douglas.glen@carltoncity.sg","Douglas Maxwell Glen","386","552A51C59C1F53D4","20210128110627"
"78","Carlton Hotel",103.852518906013,1.29592644324195,"76 Bras Basah Road","189558","mail@carltonhotel.sg","Darren Leroy Ware","940","2D7EFA59EE55019B","20210128110627"
"79","Champion Hotel",103.898375899105,1.31473398017971,"60 Joo Chiat Road","427726","janet@championhotel.com.sg","Lim Liang Jason","81","9FE5576D9A6777AE","20210128110627"
"80","Changi Cove",103.975654971312,1.38857514608333,"351 Cranwell Road","509866","enquiry@changicove.com","Chew Tee Yen","141","0716878A862C1E5E","20210128110627"
"81","Cherryloft Resorts",103.958317578175,1.37916855177722,"159 Jalan Loyang Besar","509404","resorts@cherryloft.com","ONG RYAN ZHENGYONG","186","F90A1F0BFEB16707","20210128110627"
"82","Circular House",103.848964671913,1.28795051990571,"6 CIRCULAR ROAD","49362","","AMIT BHAGAT","12","0234F0BD23901BE2","20210128110627"
"83","Citadines Rochor Singapore",103.851438825178,1.30512221745202,"2 SERANGOON ROAD, # 03-01 TEKKA PLACE","218227","frontoffice.crsg@the-ascott.com","WONG MEI LING JUDY","320","15C288F990452AB4","20210128110627"
"84","City Backpackers",103.847281913664,1.2878039882589,"18 Hongkong Street","59661","citybackpackers@hotmail.com","Tan Kee Chong Derrick","11","008BD07599CBF9D1","20210128110627"
"85","Hawaii Hostel",103.852244669339,1.30156897150731,"169A Bencoolen Street","189641","","Ng Kun Heng","83","CF2AA3D06F0E5409","20210128110627"
"86","Heritage Collection on Chinatown",103.845722570878,1.28277324511435,"227 SOUTH BRIDGE ROAD, # 01-03","58776","","Yap Hui Wen","27","FDAC3EDCBAD2FE8F","20210128110627"
"87","Heritage Collection on Seah",103.855088788757,1.29589846119217,"39 SEAH STREET","188395","","Yap Hui Wen","18","12DFF9CFA020793F","20210128110627"
"88","Hilton Garden Inn Singapore Serangoon",103.851928685296,1.30833559981707,"3 Belilios Road","219924","singi.hotel@hilton.com","Eva Moral","328","52BC35B40F7286B1","20210128110627"
"89","Hilton Singapore",103.829314887852,1.30587902148372,"581 Orchard Road","238883","sinhi@hilton.com","Peter Webster","423","7FA3C24CCB49505F","20210128110627"
"90","Holiday Inn Express Singapore Clarke Quay",103.841983925747,1.28924402665703,"2 Magazine Road","59573","info.sincq@ihg.com","Alexandra Pauline Kloprogge","442","F0535AE38FFEDB05","20210128110627"
"91","Amoy Hotel",103.84864539809,1.28300038937659,"76 Telok Ayer Street","48464","info.amoy@fareast.com.sg","Clemence Cheah","37","3144BDE51ABFBCA3","20210723135120"
"92","Andaz Singapore",103.857859544648,1.29916295638181,"5 FRASER STREET","189354","singapore@andaz.com","Karl Stephan Oliver","342","60AA84F2F58A4CB6","20210723135120"
"93","AQUEEN Prestige Hotel - Lavender",103.861297941112,1.31180974026488,"35 HAMILTON ROAD","209204","","Chan Boon Tat","72","3645A69C04BA1668","20210723135120"
"94","ARABIC INN",103.859681427203,1.30078636753127,"48 ARAB STREET KAMPONG @ ARAB","199745","","sun kangqing","6","3639B3A33C005FFD","20210723135120"
"95","Beach Villas",103.81654785488,1.25923773923788,"20 Sentosa Gateway","98135","enquires@rwsentosa.com","Sim Wai Peng Tina","35","92A0A0E98B37D4A7","20210723135120"
"96","Bluewaters Pod",103.856934787679,1.29800182513386,"2 TAN QUEE LAN STREET, # 02-01 ATLANTIS PODS @ BUGIS","188091","bluewatershospitalitypl@gmail.com","ANG QIU PING","5","8635C25509D8CF52","20210723135120"
"97","CHAMPION HOTEL CITY",103.847101673167,1.28705545548872,"37 NORTH CANAL ROAD","59293","janet@championhotel.com.sg","Lim Liang Jason","33","684B4BB4360E2039","20210723135120"
"98","Checkers Hostel @ Beach Road",103.860424414343,1.30094429153444,"285 BEACH ROAD","199550","MSRPHILIP@YAHOO.COM","MD SHAMSUR RAHMAN","23","16782ABCCC2857FA","20210723135120"
"99","Crockfords Tower",103.819279861729,1.25593387293635,"10 Sentosa Gateway","98270","enquires@rwsentosa.com","Sim Wai Peng Tina","121","373665F51CB5CE30","20210723135120"
"100","D'Hotel",103.835010036802,1.2843221081918,"231 OUTRAM ROAD WANGZ HOTEL","169040","","WONG MEI LING JUDY","41","BA1293324C5E9236","20210723135120"
"101","Dusit Thani Laguna Singapore",103.962657084899,1.32397331115705,"11 LAGUNA GOLF GREEN LAGUNA NATIONAL GOLF & COUNTRY CLUB","488047","","Piatti Eric Michel","198","BC13D102FD335F2A","20210723135120"
"102","Equarius Hotel",103.816896687818,1.25767113430044,"16 Sentosa Gateway","98133","enquiries@rwsentosa.com","Sim Wai Peng Tina","183","232A2F5F23CB1EEB","20210723135120"
"103","Festive Hotel",103.819026715795,1.25602110299293,"12 Sentosa Gateway","98271","enquiries@rwsentosa.com","Sim Wai Peng Tina","447","D61B8AECFE7D4D7B","20210723135120"
"104","Four Points by Sheraton Singapore, Riverview",103.836603813301,1.28937098412522,"382 Havelock Road","169629","finance@fourpointssingaporeriverview.com","Ho Chung Kain","476","BA66776174B64DE1","20210723135120"
"105","Genting Hotel Jurong",103.739259626278,1.33156162898379,"2 Town Hall Link","608516","enquiries@rwsentosa.com","Sim Wai Peng Tina","557","686D365D8025BA1B","20210723135120"
"106","Grand Copthorne Waterfront Hotel Singapore",103.835147957844,1.29028192700494,"392 Havelock Road","169663","enquiry.gcw@millenniumhotels.com","PJEY MAYANDI","574","6E857A24B95AD34E","20210723135120"
"107","Hard Rock Hotel",103.818913907351,1.25746583281896,"28 Sentosa Gateway","98139","enquiries@rwsentosa.com","Sim Wai Peng Tina","364","4A9092583E11CF5C","20210723135120"
"108","Heritage Collection on Boat Quay Quayside Wing",103.849195879682,1.28820207478702,"76 BOAT QUAY","49864","","YAP HUI WEN","41","8D11DCD7DAFD062A","20210723135120"
"109","Heritage Collection on Clarke Quay",103.848499242966,1.28808237913163,"36 SOUTH BRIDGE ROAD LAI NGUANG BUILDING","58670","","Yap Hui Wen","19","0A441E255985EF58","20210723135120"
"110","Hotel 1929",103.841812331317,1.28079216116778,"50 KEONG SAIK ROAD Q LOFT HOTEL1929@CHINATOWN","89154","","Tang Han Min Alan","33","E4F5799E91ED248D","20210723135120"
"111","Hotel Calmo Chinatown",103.844175157457,1.28256763758547,"25 TRENGGANU STREET HOTEL 1887","58476","","CAI WENCHAO","80","640B893DD1F6E94A","20210723135120"
"112","HOTEL CLASSIC",103.897717275598,1.31564277206077,"12 JOO CHIAT ROAD","427353","classic@venuehotel.sg","CHU POH YONG","75","BB709C85BCD492E7","20210723135120"
"113","Hotel Clover 769 North Bridge Road",103.859584470771,1.30367081350441,"769 NORTH BRIDGE ROAD HOTEL CLOVER 769 NORTH BRIDGE ROAD","198737","info@hotelclover769.com","TEO JUN LIANG, JEREMY","35","4DFBFFE30BD990F3","20210723135120"
"114","Hotel Compass",103.881864219755,1.31100479193402,"36 LORONG 22 GEYLANG HOTEL COMPASS","398693","","JIN CHENCHEN","49","264B1100AB4EFC21","20210723135120"
"115","Hotel Michael",103.820219415166,1.25493344657437,"8 Sentosa Gateway","98269","enquiries@rwsentosa.com","Sim Wai Peng Tina","464","B723D8A2F78E7A9D","20210723135120"
"116","ibis budget Singapore Ametrine",103.877505973005,1.31145566986313,"10 LORONG 10 GEYLANG","399043","","Gan Kuan Yew","38","C4D60DCEDFDBCD3D","20210723135120"
"117","ibis budget Singapore Joo Chiat",103.901246960843,1.31149498302754,"219 Joo Chiat Road","427485","contact@fragrancehotel.com","GAN KUAN YEW","90","812779CA7E764F6F","20210723135120"
"118","K Hotel 1515",103.878027379987,1.31316413429455,"15 LORONG 15 GEYLANG ZEN ROOMS 1515","388607","","CAI WENCHAO","80","03CA58F0F105F1AA","20210723135120"
"119","K SPACE INN OWEN",103.853166698166,1.31333978908028,"91A OWEN ROAD","218903","","CAI WENCHAO","6","ACC37C9B5A9A9BBF","20210723135121"
"120","KINN",103.848550528151,1.28748835671493,"39 SOUTH BRIDGE ROAD","58673","RESERVATIONS@STAYWITHKINN.COM","BRANDON SMITH","7","A6E4166EB90C7B14","20210723135121"
"121","M Hotel Singapore",103.84506021481,1.27368776927434,"81 Anson Road","79908","enquiry.mhs@millenniumhotels.com","Kung Teong Wah","415","3FF220A6AA487B77","20210723135121"
"122","New Cape Inn",103.834075884942,1.28556429182439,"3 SENG POH ROAD GREEN WORLD","168891","","CHRISTOPHER ELY","76","7F64CEFDCFC438DA","20210723135121"
"123","Oh My Suites",103.853089993362,1.30782184572235,"3 VEERASAMY ROAD REDDOORZ PREMIUM @ SERANGOON","207309","","LEE YI, CHRISTABELLE","24","9575796F63448ADC","20210723135121"
"124","Orchard Hotel Singapore",103.82816440606,1.30766860889292,"442 Orchard Road","238879","","Wong On Tat Andy","656","B8CCD00C487D6E94","20210723135121"
"125","Park 22 Hotel Little India",103.850729187175,1.30761951351103,"60 KERBAU ROAD PARK 22 HOTEL LITTLE INDIA","219184","","ROY LENG ZHENG","31","B6DD5FF9989E2F12","20210723135121"
"126","PARKROYAL Collection Pickering, Singapore",103.846290282213,1.28563913664569,"3 Upper Pickering Street","58289","","JACOPIN JEAN-PHILIPPE DANIEL","367","E9C6C11C642C77C6","20210723135121"
"127","Regin Hotel",103.875894248569,1.3132565842406,"56 SIMS AVENUE ZEN ROOMS OASIS","387416","","Heng Siam Khim","46","2247F2C15EE9F707","20210723135121"
"128","Rucksack Inn 2 @Lavender",103.860315945966,1.31436249656989,"280A Lavender Street","338800","","Dorit Grueber","12","6CD4132232A3CC9E","20210723135121"
"129","Rucksack Inn@Lavender",103.860315945966,1.31436249656989,"280  Lavender Street","338800","lavender@rucksackinn.com","Dorit Grueber","7","6CD41322B5A99248","20210723135121"
"130","ST Signature Chinatown",103.845275724046,1.28184250020967,"273A SOUTH BRIDGE ROAD","58822","xinfang.ng@straitsorg.com","Goh Keng Hong","25","C7D8D661D1477050","20210723135121"
"131","ST Signature Jalan Besar",103.854840702869,1.30536577750822,"15 UPPER WELD ROAD BUNC HOSTEL","207372","","Goh Keng Hong","69","EA004B2D63B9F77B","20210723135121"
"132","The Hive@bugis",103.858395163567,1.30262934394456,"5 JALAN PINANG TREE IN LODGE","199137","","YAN TONGJI","8","18A4539469AB88C3","20210723135121"
"133","The Pan Pacific Hotel Singapore",103.857758269035,1.29111728356103,"7 Raffles Boulevard","39595","enquiry.ppsin@panpacific.com","Paul Margaret Spence","790","1DC444E00EC97F5B","20210723135121"
"134","The Warehouse Hotel",103.837472602698,1.28920188923002,"320 HAVELOCK ROAD","169628","","Tarun Kalra","37","D1008FC95CE8CA2A","20210723135121"
"135","Village Hotel Changi",103.986061074378,1.3904021092424,"1 Netheravon Road","508502","info.vhc@fareast.com.sg","Teo Kah Eng","380","D54C65340062E608","20210723135121"
"136","Village Hotel Katong",103.902912251967,1.30377936120631,"25 Marine Parade Road","449536","info.vhk@fareast.com.sg","Terence Govinden","229","EA762650855235F7","20210723135121"
"137","Hotel 81 - Geylang",103.879565363057,1.31178580684439,"20 Lorong 16 Geylang","398863","hotel81@hotel81.com.sg","Chu Poh Yong","88","C0A53C0A43885765","20210128110627"
"138","Hotel 81 - Gold",103.881122145385,1.3119564255497,"20 Lorong 20 Geylang","398738","hotel81@hotel81.com.sg","Chu Poh Yong","98","412D36BEFF0E2D10","20210128110627"
"139","Classique Hotel",103.85816175664,1.30942994343081,"240 Jalan Besar , # 01-01","208913","reservations@classiquehotel.com.sg","Ang Beng MAY","42","3C427F683C0D0D2E","20210128110627"
"140","COLLER BOUTIQUE HOSTEL",103.834726678247,1.28500519507722,"259 OUTRAM ROAD","169056","","KHOO HOCK CHYE","11","E73470306E8D3344","20210128110627"
"141","Concorde Hotel Singapore",103.842228053204,1.30061437146928,"100 Orchard Road","238840","singapore@concorde.net","Karl Lee Muir","418","F159AF5E324D56DB","20210128110627"
"142","Conrad Centennial Singapore",103.858774751329,1.29352504343592,"2 Temasek Boulevard","38982","sinci_acc@conradhotels.com","Peter Toi","512","B345D633745337B5","20210128110627"
"143","Copthorne King Hotel Singapore",103.836642496764,1.28825959921985,"403 Havelock Road","169632","rooms@copthornekings.com.sg","Yeoh Cheng Kung","313","AC71C768A70E334B","20210128110627"
"144","Courtyard By Marriott Singapore Novena",103.843165090044,1.32059476707049,"99 IRRAWADDY ROAD, # 22-00 ROYAL SQUARE AT NOVENA","329568","","Khong Cheng Hoe Peter","250","5610EBA03AB6F4B4","20210128110627"
"145","Coziee Lodge",103.8728758866,1.31077389402222,"77A Geylang Road","389198","denniskyj@gmail.com","Kwek Yi Jun, Dennis","5","2120FA2DB22770F6","20210128110627"
"146","Crowne Plaza Changi Airport",103.987947172552,1.35868034734966,"75 Airport Boulevard","819664","sincp@ihg.com","Cristol Bruno Olivier","563","AF34378EAA44E3DD","20210128110627"
"147","Days Hotel Singapore At Zhongshan Park",103.847365855383,1.32697770059675,"1 Jalan Rajah","329133","info@dayshotelsingapore.com","Tony John Cousens","405","C56F326E58E1F03C","20210128110627"
"148","Destination Singapore Beach Road",103.864169303074,1.30236655161918,"700 BEACH ROAD 700 BEACH","199598","Beelay.Pua@yourdestinationhotel.com","Steven Tang","300","122395C0A3F52261","20210128110627"
