"","NAME","Latitude","Longitude","Opening Hours","Street","Description1","Description2","URL Path","Website","Image Link","Image Text","Image By","Last Modified","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR"
"11","Esplanade Theatre","1.28986","103.85528","","1 Esplanade Drive","This boldly designed performing arts centre has become a memorable part of Singapore’s skyline.","The Esplanade is boldly designed performing arts centre that has become a memorable part of Singapore’s skyline.","https://www.visitsingapore.com/see-do-singapore/architecture/modern/esplanade-theatres-on-the-bay","http://www.esplanade.com","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg","Catch a world-class opera or pop concert at Singapore’s premier performing arts centre.","","2015-11-02T09:14:44.054+08:00","CBF71A2C5371C288","1/9/2017 2:59:32 PM","30444.1189","30251.6951"
"12","Gardens by the Bay","1.281568","103.863613","Outdoor Gardens: 5am – 2am,Conservatories: 9am – 9pm,OCBC Skyway: 9am – 9pm","18 Marina Gardens Drive","The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering.","Biodomes, baobabs and the blossoming bounty of every conceivable plant will bowl you over at Gardens by the Bay.","https://www.visitsingapore.com/see-do-singapore/architecture/modern/gardens-by-the-bay","http://www.gardensbythebay.com.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg","Gardens by the Bay seamlessly blends sleek design, cutting-edge technology and fun.","","2015-11-02T09:42:14.206+08:00","FA494CA6D6146237","1/9/2017 2:59:32 PM","31371.5217","29334.818"
"13","The Interlace","1.28199","103.80305","","180-226 Depot Road","There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks.","Few buildings demonstrate out-of-the-box thinking as well as The Interlace, an intriguingly designed residential complex.","https://www.visitsingapore.com/see-do-singapore/architecture/modern/the-interlace","http://www.theinterlace.com","","","","2015-11-02T09:19:31.553+08:00","D95F49E8D6A32926","1/9/2017 2:59:32 PM","24631.3547","29381.4805"
"14","PARKROYAL on Pickering","1.285563","103.846522","","3 Upper Pickering Street","PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.","PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.","https://www.visitsingapore.com/see-do-singapore/architecture/modern/parkroyal-on-pickering","http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/parkroyal-pickering-carousel01-rect.jpg","Pamper yourself and save the world at the same time at PARKROYAL on Pickering.","","2015-11-02T09:34:05.378+08:00","86BB3E462786BDFE","1/9/2017 2:59:32 PM","29469.4305","29776.5482"
"15","Lasalle College of the Arts","1.3029","103.8516","Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening hours","1 McNally Street","How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.","Lasalle College of the Arts evokes awe with its bold, graphic lines and stunning reinterpretation of nature.","https://www.visitsingapore.com/see-do-singapore/architecture/modern/lasalle-college-of-the-arts","https://www.lasalle.edu.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg","Lasalle College of the Arts pushes the boundaries of creativity in architecture","Lasalle College of the Arts","2015-11-02T09:49:08.755+08:00","C3B4EB77BCC4F51D","1/9/2017 2:59:32 PM","30034.5559","31693.5879"
"16","Old Supreme Court Singapore","1.2897","103.85128","Expected to open in 2015","1 St Andrew's Road","From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.","Due to reopen as the National Gallery Singapore, the Old Supreme Court is in itself a masterpiece of classical art.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/old-supreme-court","http://app.supremecourt.gov.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/old-supreme-court-carousel01-rect.jpg","The Old Supreme Court lends a stately presence to the heart of Singapore city.","","2015-11-02T09:51:34.087+08:00","18E4CDB43DDACBCD","1/9/2017 2:59:32 PM","29998.953","30233.9997"
"17","SIT Flats Singapore","1.28351","103.8336","","Seng Poh Road and Tiong Bahru Road","Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.","The Art Deco elegance of the flats in Tiong Bahru speak of the richness of a vanished world.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/sit-flats","","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg","The charm of Tiong Bahru comes to life through its Art Deco architecture.","","2015-11-02T10:09:11.340+08:00","DA27CAA0D434D73E","1/9/2017 2:59:32 PM","28031.3197","29549.5343"
"18","Lau Pa Sat Singapore","1.28072","103.85044","Daily, 24 hours","18 Raffles Quay","The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.","The historic market Lau Pa Sat offers a winning combination of graceful colonial architecture, a longstanding heritage and delicious food.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/lau-pa-sat","http://www.laupasat.biz","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg","Lau Pa Sat blends graceful colonial architecture, heritage and delicious food.","","2015-11-02T09:59:12.640+08:00","A9FB88B3B9A04B47","1/9/2017 2:59:32 PM","29905.4748","29241.037"
"19","Malay Heritage Centre","1.30309","103.85986","Malay Heritage Centre Museum, Tuesday to Sunday, 10am – 6pm, Closed on Monday, Malay Heritage Centre Compound, Tuesday to Sunday, 8am – 8pm, Friday and Saturday, 8am – 10pm, Closed on Monday","85 Sultan Gate","The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.","The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/malay-heritage-centre","http://www.malayheritage.org.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg","Delve into the rich heritage and culture of Singapore’s Malay community.","","2015-11-02T10:08:04.332+08:00","40BEA3C445A32C7D","1/9/2017 2:59:32 PM","30953.8185","31714.6052"
"20","Peranakan Museum Singapore","1.29421","103.8492","Saturday to Thursday, 10am – 7pm, Friday, 10am – 9pm","39 Armenian Street","Get to know Singapore’s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.","At the Peranakan Museum, get to know Singapore’s vibrant Peranakan community and its eclectic culture and history with fun and interactive exhibits.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/peranakan-museum","http://peranakanmuseum.org.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg","Many communities, one nation. Find out more about our people, such as the ubiquitous Peranakans.","","2015-11-02T10:11:13.152+08:00","01811F6A8AC24C77","1/9/2017 2:59:32 PM","29767.4637","30732.6907"
"21","Raffles Singapore","1.29579","103.85404","Daily, 24 hours","1 Beach Road","Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.","Sip a Singapore Sling beneath the whirling fans at the Long Bar, and let the tranquil charms of Raffles Singapore bring you back into another era.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/raffles-hotel","http://www.raffleshotel.com","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/raffles-hotel-carousel03-rect.jpg","The iconic Raffles Hotel has been home to both tall tales and famous folks.","Raffles Hotel, Singapore","2015-11-02T10:11:09.028+08:00","3EE5CC583F1EA3CF","1/9/2017 2:59:32 PM","30306.112","30907.4027"
"22","Gillman Barracks – YourSingapore","1.2784","103.80459","Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.","9 Lock Road","A former British military camp is now Asia's new Destination for Contemporary Art.","Gillman Barracks Singapore is Asia’s vibrant new destination for the creation, exhibition and discussion of contemporary art.","https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/gillman-barracks","https://www.gillmanbarracks.com/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg","","Gillman Barracks","2015-11-03T10:00:29.955+08:00","7C57E40897D81F38","1/9/2017 2:59:32 PM","24802.7396","28984.5149"
"23","National Museum of Singapore","1.29689","103.84883","Singapore History Gallery Daily, 10am – 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am – 8pm Free admission from 6pm –8pm , Last admission at 7.30pm","93 Stamford Road","Singapore’s oldest museum is a progressive showcase of the country’s history and culture.","The National Museum of Singapore is a progressive showcase of the country’s history and culture.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/national-museum-of-singapore","http://nationalmuseum.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg","The National Museum of Singapore building is also an architectural icon that is stunning to behold.","National Heritage Board","2015-10-26T14:25:34.625+08:00","89154246B42FDD93","1/9/2017 2:59:32 PM","29726.284","31029.0309"
"24","The Japanese Cemetery Park","1.36431","103.87584","Daily","825B Chuan Hoe Avenue","Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore’s early Japanese community.","The Japanese Cemetery Park is the largest Japanese cemetery in Southeast Asia, containing nearly 1,000 graves of Singapore’s early Japanese community.","https://www.visitsingapore.com/see-do-singapore/history/memorials/japanese-cemetery-park","","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg","The Japanese Cemetery Park holds the ashes of thousands of Japanese soldiers, marines and airmen killed during World War II.","","2015-10-26T14:42:00.436+08:00","BC34A1671E3AE3E2","1/9/2017 2:59:32 PM","32732.1305","38484.0255"
"25","Dalhousie Obelisk","1.28704","103.85238","Daily","1 Empress Place","Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.","Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.","https://www.visitsingapore.com/see-do-singapore/history/memorials/dalhousie-obelisk","","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/dalhousie-obelisk-carousel01-rect.jpg","The Dalhousie Obelisk is a historically significant piece of Singapore architecture.","Joel Chua DY","2015-10-26T14:38:19.671+08:00","77132707AEC29309","1/9/2017 2:59:32 PM","30121.3759","29939.8715"
"26","Raffles Statue – Sir Stamford Raffles Landing Site","1.287766","103.850845","Daily","Raffles Landing Site , 59 Boat Quay","The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.","Raffles Statue depicts the founder of modern Singapore, Sir Stamford Raffles. Two statues exist today, at the Raffles Landing Site and Empress Place.","https://www.visitsingapore.com/see-do-singapore/history/memorials/sir-raffles-statue-landing-site","","","","","2015-10-26T14:48:54.546+08:00","DC70E9FD55023AA1","1/9/2017 2:59:32 PM","29950.5427","30020.1476"
"27","Singapore Philatelic Museum","1.29294","103.8487","Monday, 1pm – 7pm,Tuesday to Sunday, 9.30am – 7pm","23-B Coleman Street","The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.","The Philatelic Museum offers visitors postage stamp-sized windows into Singapore and the rest of the world.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/philatelic-museum","http://spm.org.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg","Take a colourful trip back in time at this Singapore museum dedicated to postage stamps and related materials.","Singapore Philatelic Museum","2015-10-26T14:31:26.106+08:00","04A519207A664846","1/9/2017 2:59:32 PM","29711.8189","30592.2602"
"28","Lim Bo Seng Memorial","1.288483","103.853027","Daily","Esplanade Park, Connaught Drive","This gazetted national monument at Esplanade Park commemorates one of Singapore’s heroes from World War II.","The gazetted Lim Bo Seng Memorial at Esplanade Park commemorates one of Singapore’s heroes from World War II.","https://www.visitsingapore.com/see-do-singapore/history/memorials/lim-bo-seng-memorial","http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg","The Lim Bo Seng Memorial commemorates one of Singapore's heroes from World War II.","","2015-10-26T15:07:36.240+08:00","7D3A056808CD2ACE","1/9/2017 2:59:32 PM","30193.3804","30099.4315"
"29","Kranji War Memorial Landmark","1.41903","103.75749","Daily, 8am – 6.30pm","9 Woodlands Road","The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.","The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.","https://www.visitsingapore.com/see-do-singapore/history/memorials/kranji-war-memorial","http://bit.ly/19MZ0SB","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg","The serene Kranji War Memorial, Singapore is a hillside cemetery set in a quiet neighbourhood.","","2015-10-26T15:19:50.818+08:00","AFF4B707DB860EE4","1/9/2017 2:59:32 PM","19561.3701","44534.7824"
"30","Indian National Army (INA) Monument","1.289954","103.854217","Daily","Esplanade Park","This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.","The Indian National Army (INA) Monument at Esplanade Park is a memorial that was built in 1995 to mark the 50th anniversary of the end of World War II.","https://www.visitsingapore.com/see-do-singapore/history/memorials/indian-national-army-monument","http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/indian-national-army-carousel01-rect.jpg","The Indian National Army Monument tells an intriguing story of Singapore's past.","","2015-10-26T15:02:55.258+08:00","54D00ED8E4C566FC","1/9/2017 2:59:32 PM","30325.8159","30262.0881"
"31","Reflections at Bukit Chandu","1.27954","103.79433","Tuesday to Sunday, 9am – 5.30pm,Closed on Monday (except on public holidays)","31-K Pepys Road","This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.","Reflections at Bukit Chandu relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.","https://www.visitsingapore.com/see-do-singapore/history/memorials/reflections-at-bukit-chandu","http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/reflections-at-bukit-chandu-carousel01-rect.jpg","Reflections at Bukit Chandu is housed in a lovingly restored colonial bungalow.","Reflections at Bukit Chandu","2015-10-26T14:52:32.405+08:00","F1CC9FAC359E754B","1/9/2017 2:59:32 PM","23660.8859","29110.5853"
"32","The Cenotaph","1.290348","103.853838","Daily","Esplanade Park, Connaught Drive","This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.","The Cenotaph in Singapore is a war memorial in Esplanade Park that honours the heroes who fought and died during World War I and World War II.","https://www.visitsingapore.com/see-do-singapore/history/memorials/cenotaph","http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/cenotaph-carousel01-rect.jpg","Surrounded by lush green, The Cenotaph sits at a quiet spot amid the city buzz.","","2015-10-26T15:16:16.699+08:00","9BA6630A4456F36E","1/9/2017 2:59:32 PM","30283.5915","30305.6543"
"33","The Civilian War Memorial park","1.293123","103.854618","Daily","Bras Basah Road & Beach Road intersection","Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.","The Civilian War Memorial and park in Beach Road commemorates Singapore’s civilian victims of the Japanese Occupation during World War II.","https://www.visitsingapore.com/see-do-singapore/history/memorials/civilian-war-memorial","http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial","","","","2015-10-26T14:58:00.714+08:00","20F9D59235BF6380","1/9/2017 2:59:32 PM","30370.4408","30612.5001"
"34","Sri Veeramakaliamman Temple","1.30779","103.85258","Daily, 5.30am – 9.30pm","141 Serangoon Road","Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.","Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/sri-veeramakaliamman-temple","http://www.sriveeramakaliamman.com/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-veeramakaliamman-temple-carousel01-rect.jpg","The Sri Veeramakaliamman Temple is a distinctive landmark in the heart of Little India.","","2015-11-02T10:25:02.966+08:00","B909051E514A1E58","1/9/2017 2:59:32 PM","30143.6168","32234.2997"
"35","Maghain Aboth Synagogue","1.29821","103.85081","Visits are available only by appointment. For more information, email jewishwb@singnet.com.sg or call +65 6337 2189 (ext. 103)","24/26 Waterloo Street","The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.","The simple exterior of the Maghain Aboth Synagogue gives no indication of its richly elegant interiors.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/maghain-aboth-synagogue","http://www.singaporejews.com","","","","2015-11-02T10:18:20.061+08:00","C29D251F8B184037","1/9/2017 2:59:32 PM","29946.6396","31174.9912"
"36","Sultan Mosque (Masjid Sultan) Singapore","1.302379","103.859171","Monday to Sunday:9.30am – 12pm and 2pm – 4pm ,Friday:2.30pm – 4pm","3 Muscat Street","Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community.","The impressive Sultan Mosque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singapore’s Muslim community.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/sultan-mosque","http://www.sultanmosque.org.sg","","","","2015-11-02T10:27:45.190+08:00","8EAD53A17A6233BF","1/9/2017 2:59:32 PM","30877.1398","31635.9857"
"37","Sri Mariamman Temple","1.28243","103.84538","Daily from 7am – 12pm, and 6pm – 9pm","244 South Bridge Road","Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.","Sri Mariamman Temple, located in Chinatown, is the oldest Hindu temple in Singapore.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/sri-mariamman-temple","http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg","Sri Mariamman Temple's ornate and elaborate detailing makes it a wonder to behold.","Joel Chua DY","2015-11-02T10:31:58.848+08:00","87AEBE8461E729AF","1/9/2017 2:59:32 PM","29342.3372","29430.1166"
"38","Armenian Church","1.29293","103.84966","Daily, 9am –6pm","60 Hill Street","The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.","The Armenian Church is the oldest Christian church in Singapore and an architectural masterpiece from the early 19th century.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/armenian-church","http://www.armeniansinasia.org/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/armenian-church-carousel01-rect.jpg","The Armenian Church in Singapore is a 19th-century architectural masterpiece.","Joel Chua DY","2015-11-02T10:34:55.710+08:00","104B770A1395B723","1/9/2017 2:59:32 PM","29818.6585","30591.1552"
"39","CHIJMES Singapore","1.29526","103.85168","Daily, 24 hours,Opening hours of businesses in CHIJMES may vary.","30 Victoria Street","Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.","Who would have thought a former school would make such a graceful transition? As a lifestyle and entertainment complex, CHIJMES soars high above the rest.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/chijmes","http://chijmes.com.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes-carousel01-rect.jpg","The charm of CHIJMES, Singapore harks back to a bygone, gracious age.","","2015-11-02T10:13:35.220+08:00","2BACAF4FA15C1059","1/9/2017 2:59:32 PM","30043.4653","30848.796"
"40","St Andrew’s Cathedral","1.29249","103.85231","Monday to Saturday, 9am – 5pm","11 St Andrew's Road","Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.","St Andrew's Cathedral is Singapore's largest cathedral and a stellar example of colonial-era architecture and heritage.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/st-andrews-cathedral","http://www.livingstreams.org.sg/sac/visitors.html","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/st-andrews-cathedral-temple-carousel01-rect-norender.jpg","Singapore's largest cathedral is worth a visit for its architectural beauty.","Saint Andrew's Cathedral","2015-11-02T10:22:49.830+08:00","E18BD72F36CBCE11","1/9/2017 2:59:32 PM","30113.581","30542.5043"
